Sr No.,Project Name,Sponsoring Authority,Location,Sector,Sub Sector,Total Project Cost (In Rs. Crore),PPPAC Meeting Date,Meeting Number,Recommended For
220,Two/Four laning of NH 12 from km 256.550 to km 346.539 (Kota-Jhalwar section) in the State of Rajasthan under NHDP Phase III on BOT(Toll) basis basis,Ministry of Road Transport and Highways,Rajasthan,Transport and Logistics,Roads,530,06.01.2011,40th PPPAC,Final approval
221,Four laning of Beawar Pali Pindwara Section of NH 14 from km 0 to km 244.120 in the State of Rajasthan under NHDP Phase III on BOT(Toll) basis,Ministry of Road Transport and Highways,Rajasthan,Transport and Logistics,Roads,2388,06.01.2011,40th PPPAC,Final approval
222,Four laning of Nagpur Wainganga Bridge Section of NH 6 from km 498 to km 544.200 in the State of Maharashtra under NHDP Phase III on BOT(Toll) basis,Ministry of Road Transport and Highways,Maharashtra,Transport and Logistics,Roads,484,06.01.2011,40th PPPAC,Final approval
223,Six laning of Poonamallee-Walajapet section of NH 4 under NHDP V on BOT(Toll) basis,Ministry of Road Transport and Highways,Tamil Nadu,Transport and Logistics,Roads,1197,02.12.2010,39th PPPAC,Final approval
224,"Four Laning of Panikoili-Rimuli Section of NH 215 under NHDP Phase III, length 163 km",Ministry of Road Transport and Highways,Odisha,Transport and Logistics,Roads,1410,17.08.2010,38th PPPAC,Final approval
225,Development of EQ 1 berth by replacement of the existing EQ1 and part of EQ2 berths in the north of the Inner Harbour of Vishakhapatnam Port,Ministry of Shipping,Andhra Pradesh,Transport and Logistics,Ports,323,17.08.2010,38th PPPAC,Final approval
226,Development of EQ 1A berth on south of EQ 1 berth for handling Thermal Coal and Steam Coal in the Inner Harbour of Vishakhapatnam Port,Ministry of Shipping,Andhra Pradesh,Transport and Logistics,Ports,313,17.08.2010,38th PPPAC,Final approval
227,Parwanoo-Solan section of NH 22 in the State of Himachal Pradesh on BOT (Annuity) under NHDP Phase III,Ministry of Road Transport and Highways,Himachal Pradesh,Transport and Logistics,Roads,660,17.08.2010,38th PPPAC,Final approval
228,Four laning of Barasat-Krishnagar section of NH 34 in the State of West Bengal under NHDP Phase III on BOT (Annuity) basis,Ministry of Road Transport and Highways,West Bengal,Transport and Logistics,Roads,887,17.08.2010,38th PPPAC,Final approval
229,Two laning of Purnea-Khagaria section of NH 31 in the State of Bihar under NHDP Phase III on BOT (Annuity) basis,Ministry of Road Transport and Highways,Bihar,Transport and Logistics,Roads,676,17.08.2010,38th PPPAC,Final approval
230,Development of the Jallandhar (Punjab) Housing Cluster on BOT (Annuity basis),Ministry of Home Affairs,Punjab,Social and Commercial Infrastructure,Affordable Housing,243,21.06.2010,37th PPPAC,Final approval
231,Development of the Kathgodam (Uttarakhand) Housing Cluster on BOT (Annuity basis),Ministry of Home Affairs,Uttarakhand,Social and Commercial Infrastructure,Affordable Housing,532,21.06.2010,37th PPPAC,Final approval
232,Development of the Assam -1 Housing Cluster on BOT (Annuity Basis),Ministry of Home Affairs,Assam,Social and Commercial Infrastructure,Affordable Housing,477,21.06.2010,37th PPPAC,Final approval
233,Development of the Assam -2 Housing Cluster on BOT (Annuity Basis),Ministry of Home Affairs,Assam,Social and Commercial Infrastructure,Affordable Housing,329,21.06.2010,37th PPPAC,Final approval
234,Development of the Kadarpur NCR Housing Cluster for CPMF on BOT (Annuity Basis),Ministry of Home Affairs,Haryana,Social and Commercial Infrastructure,Affordable Housing,908,21.06.2010,37th PPPAC,Final approval
235,"Operations, Management and Maintenance of Shyama Prasad Mukherjee Swimming Pool Complex (New Delhi) on PPP Basis",Ministry of Youth Affairs and Sports (MoYA&S),Delhi,Social and Commercial Infrastructure,Sports Infrastructure,0,28.05.2010,36th PPPAC,In-principle approval
236,"Operations, Management and Maintenance of Dr. Karni Singh Shooting Ranges (New Delhi) on PPP Basis",Ministry of Youth Affairs and Sports (MoYA&S),Delhi,Social and Commercial Infrastructure,Sports Infrastructure,0,28.05.2010,36th PPPAC,In-principle approval
237,"Operations, Management and Maintenance of Shyama Prasad Mukherjee Swimming Pool Complex (New Delhi) on PPP Basis",Ministry of Youth Affairs and Sports (MoYA&S),Delhi,Social and Commercial Infrastructure,Sports Infrastructure,0,28.05.2010,36th PPPAC,In-principle approval
238,"Operations, Management and Maintenance of Dr. Karni Singh Shooting Ranges (New Delhi) on PPP Basis",Ministry of Youth Affairs and Sports (MoYA&S),Delhi,Social and Commercial Infrastructure,Sports Infrastructure,0,28.05.2010,36th PPPAC,In-principle approval
239,Four laning of Ranchi Jamshedpur section of NH33 in the State of Bihar on BoT (Annuity) under NHDP Phase III,Ministry of Road Transport and Highways,Bihar,Transport and Logistics,Roads,1479,28.05.2010,36th PPPAC,Final approval
240,Four laning of Krishnanagar-Baharampur section of NH 34 from Km 115 to km 193 in the State of West Bengal,Ministry of Road Transport and Highways,West Bengal,Transport and Logistics,Roads,708,28.04.2010,35th PPPAC,Final approval
241,Two laning with paved shoulders of Jhansi-Khajuraho section of NH 75 from km 1.900 to km 169.950 in the State of UP and MP under NHDP III on BOT (Toll) basis,Ministry of Road Transport and Highways,Multi State,Transport and Logistics,Roads,494,28.04.2010,35th PPPAC,Final approval
242,Four laning of Ludhiana-Talwandi section of NH 95 from km 92 to km 170 in the State of Punjab under BOT (Toll) NHDP III on DBFOT,Ministry of Road Transport and Highways,Punjab,Transport and Logistics,Roads,479,28.04.2010,35th PPPAC,Final approval
243,Four/Six laning of Panvel Indapur section of NH 17 in the State of Maharashtra,Ministry of Road Transport and Highways,Maharashtra,Transport and Logistics,Roads,943,28.04.2010,35th PPPAC,Final approval
244,Four laning of Jetput - Somnath Section of NH 80 in the State of Gujarat,Ministry of Road Transport and Highways,Gujarat,Transport and Logistics,Roads,828,28.04.2010,35th PPPAC,Final approval
245,Two laning with paved shoulder of Muzaffarpur Sanbarsa section of NH 77 in the State of Bihar,Ministry of Road Transport and Highways,Bihar,Transport and Logistics,Roads,512,28.04.2010,35th PPPAC,Final approval
246,Development of Dry Bulk Terminal at Tekra near Tuna on BOT basis,Ministry of Shipping,Gujarat,Transport and Logistics,Ports,1141,15.03.2010,34th PPPAC,Final approval
247,Two laning with paved shoulder of Tindivam Krishnagiri section of NH 66 from km 38.150 to km 214 in the state of Tamil Nadu,Ministry of Road Transport and Highways,Tamil Nadu,Transport and Logistics,Roads,828,15.03.2010,34th PPPAC,Final approval
248,Four laning of Nagpur Saoner Pandhurna Betul section of NH 69 from km 3.000 to km 59.300 in the state of Maharashtra and km 137.000 to km 257.400 in the state of MP on BOT (Annuity) basis,Ministry of Road Transport and Highways,Maharashtra,Transport and Logistics,Roads,2520,15.03.2010,34th PPPAC,Final approval
249,Two laning with paved shoulder from Kozhikode - Muthanga section of NH 212 in Kerala,Ministry of Road Transport and Highways,Kerala,Transport and Logistics,Roads,365,22.02.2010,32th PPPAC,Final approval
250,Six laning of NH7 from Hosur to Krishnagiri on NH93 in Tamil Nadu,Ministry of Road Transport and Highways,Tamil Nadu,Transport and Logistics,Roads,535,22.02.2010,32th PPPAC,Final approval
251,Six laning of Dankuni - Baleshwar section of NH 6 in West Bengal,Ministry of Road Transport and Highways,West Bengal,Transport and Logistics,Roads,2034,22.02.2010,32th PPPAC,Final approval
252,Four laning of Chapra - Hazipur section on NH 19 in Bihar,Ministry of Road Transport and Highways,Bihar,Transport and Logistics,Roads,691,22.02.2010,32th PPPAC,Final approval
253,Four laning of Bhubaneshwar - Puri section of NH 203 in Orissa,Ministry of Road Transport and Highways,Odisha,Transport and Logistics,Roads,500,22.02.2010,32th PPPAC,Final approval
254,Four laning of Karnataka/Kerala border - Kannur section in Kerala,Ministry of Road Transport and Highways,Kerala,Transport and Logistics,Roads,1157,22.02.2010,32th PPPAC,Final approval
255,Four laning of Sambalpur Baragarh of Orissa/Chhatisgarh border section of NH 6 from Km 0 to Km 88 in Orissa,Ministry of Road Transport and Highways,Odisha,Transport and Logistics,Roads,909,22.02.2010,32th PPPAC,Final approval
256,Two laning with paved shoulder of Dindigul - Theni and Theni - Kumili in Tamil Nadu under NHDP III,Ministry of Road Transport and Highways,Tamil Nadu,Transport and Logistics,Roads,501,22.02.2010,32th PPPAC,Final approval
257,Four laning of Barhi to Hazaribagh section of NH 33 in Jharkhand,Ministry of Road Transport and Highways,Jharkhand,Transport and Logistics,Roads,414,22.02.2010,32th PPPAC,Final approval
258,Four/Six lanning of Patna - Bakhtiyarpur section from Km 176.60 to Km 230 of NH 30 in the State of Bihar,Ministry of Road Transport and Highways,Bihar,Transport and Logistics,Roads,601,10.02.2010,31th PPPAC,Final approval
259,Two laning with Pave shoulder from Varanasi to Gorakhpur section Km 2 to Km 208 of NH 29 in the State of UP,Ministry of Road Transport and Highways,Uttar Pradesh,Transport and Logistics,Roads,539,10.02.2010,31th PPPAC,Final approval
260,Two laning with pave shoulder from Aligarh to Kanpur from Km 140.100 to Km 418.760 on NH 91 in the State of UP,Ministry of Road Transport and Highways,Uttar Pradesh,Transport and Logistics,Roads,723,10.02.2010,31th PPPAC,Final approval
261,Two laning with pave shoulder from Bilaspur - Urdawal section Km 3116 to Km 312.400 of 4 on NH 200,Ministry of Road Transport and Highways,Chhattisgarh,Transport and Logistics,Roads,494,10.02.2010,31th PPPAC,Final approval
262,Two laning with pave shoulder on Raigarh - Saraipalli from 3.800 to Km 90.460 on NH 216 in the State of Chattisgarh,Ministry of Road Transport and Highways,Chhattisgarh,Transport and Logistics,Roads,189,10.02.2010,31th PPPAC,Final approval
263,Two laning of Deali - Kota section of NH 12 on Kota bypass in Rajasthan,Ministry of Road Transport and Highways,Rajasthan,Transport and Logistics,Roads,593,10.02.2010,31th PPPAC,Final approval
264,Development of Container Terminal at New Mangalore Port on BOT basis,Ministry of Shipping,Karnataka,Transport and Logistics,Ports,276,06.01.2010,30th PPPAC,Final approval
265,Development of Multipurpose Berth to handle clean cargo including containers on BOT basis at Paradip Port,Ministry of Shipping,Odisha,Transport and Logistics,Ports,446,06.01.2010,30th PPPAC,Final approval
266,Development of North Cargo Berth II for handling bulk cargo at Tuticorin Port on DBFOT basis,Ministry of Shipping,Tamil Nadu,Transport and Logistics,Ports,332,06.01.2010,30th PPPAC,Final approval
267,Development of Mega Container at Chennai Port,Ministry of Shipping,Tamil Nadu,Transport and Logistics,Ports,3125,06.01.2010,30th PPPAC,Final approval
268,"Srinagar to banihal section of NH 1A from km 187 to km 189.350, km 270.700 to km 286.110 and 187 to 220.700 on DBFOT (Annuity) in the State of Jammu and Kashmir",Ministry of Road Transport and Highways,Jammu and Kashmir,Transport and Logistics,Roads,1166,16.11.2009,28th PPPAC,Final approval
269,"Mechanism of Coal Handling facilities and upgradation of General Cargo Berth at Outer Harbour of Visakhapatnam Port to cater 200,000 DWT vessels on DBFOT basis",Ministry of Shipping,Andhra Pradesh,Transport and Logistics,Ports,438,11.11.2009,29th PPPAC,Final approval
270,development of Standalone container handling facility with a quay length of 300m towards North at Jahawar Lal Nehru Port Trust,Ministry of Shipping,Maharashtra,Transport and Logistics,Ports,600,11.11.2009,29th PPPAC,Final approval
271,Development of Fourth Container Terminal at Jawahar Lal Nehru Port Trust,Ministry of Shipping,Maharashtra,Transport and Logistics,Ports,6700,11.11.2009,29th PPPAC,Final approval
272,Six laning of NH 4 from Tumkur to Chitradurga in Karnataka under NHDP Phase V on BOT (Toll) on DBFO pattern,Ministry of Road Transport and Highways,Karnataka,Transport and Logistics,Roads,839,16.10.2009,28th PPPAC,Final approval
273,Four laning of Qazigund to Banihal Section of NH 1A from km 189.350 to km 204.700 including 2 tunnels of 0.69 km and km 8.45 length on BOT (Annuity) basis in the State of Jammu and Kashmir,Ministry of Road Transport and Highways,Jammu and Kashmir,Transport and Logistics,Roads,1987,16.10.2009,28th PPPAC,Final approval
274,"Rehabilitation , strengthening and Four laning of Ramban to Banihal section of NH 1A from km 151 to km 187 on BOT (Annuity) basis on DBFO pattern in the state of Jammu and Kashmir",Ministry of Road Transport and Highways,Jammu and Kashmir,Transport and Logistics,Roads,986,16.10.2009,28th PPPAC,Final approval
275,"Rehabilitation, strengthening and Four laning of Udhampur to Ramban section of NH 1A from km 67 to km 89 & km 130 to km 151 in the state of JUammu and Kashmir",Ministry of Road Transport and Highways,Jammu and Kashmir,Transport and Logistics,Roads,971,16.10.2009,28th PPPAC,Final approval
276,Four laning of Chenani to Nashri section of NH 1A from km 89 to km 130 including 9 km long tunnel with parallel escape tunnel on BOT (Annuity) basis of Jammu & Kashmir,Ministry of Road Transport and Highways,Jammu and Kashmir,Transport and Logistics,Roads,2108,16.10.2009,28th PPPAC,Final approval
277,Rehabilitation strengthening and 4 laning of Jammu-Udhampur section of NH 1A from Km 15 to km 67 on BOT (Annuity) basis on DBFO pattern in the State of Jammu & Kashmir,Ministry of Road Transport and Highways,Jammu and Kashmir,Transport and Logistics,Roads,1939,16.10.2009,28th PPPAC,Final approval
278,Six laning of Chenagapjalli to Start of Coimbatore bypass section 1 and four laning from end of Coimbatore bypass to TN/Kerala Boarder of NH 47 in the State of Tamil Nadu,Ministry of Road Transport and Highways,Tamil Nadu,Transport and Logistics,Roads,853,27.07.2009,26th PPPAC,Final approval
279,"Design, Engineering, Upgradation, Development, Finance, Operation and Maintenance of Hyderabad-Bangalore section of NH 7 in the state of 12 under NHDP Phase VII",Ministry of Road Transport and Highways,Karnataka,Transport and Logistics,Roads,747,27.07.2009,26th PPPAC,Final approval
280,"Design, Engineering, Finance, Construction, Operation and Maintenance of four laning of Bijapur-Hungund section of NH 13 from km 102 to km 202 in the State of Karnataka under NHDP Phase III through DBFOT basis",Ministry of Road Transport and Highways,Karnataka,Transport and Logistics,Roads,695,27.07.2009,26th PPPAC,Final approval
281,"Design, Engineering, Finance, Construction, Operation and Maintenance of four laning of Bijapur-Hungund section of NH 13 from km 202 to km 299 in the State of Karnataka under NHDP Phase III through DBFOT basis",Ministry of Road Transport and Highways,Karnataka,Transport and Logistics,Roads,1226,27.07.2009,26th PPPAC,Final approval
282,Four laning of Raiganj-Dalkhola section of NH 34 from km 398 to km 452.700 in the state of West Bangal on DBFOT basis under NHDP III,Ministry of Road Transport and Highways,West Bengal,Transport and Logistics,Roads,560,27.07.2009,26th PPPAC,Final approval
283,Four laning of Baharampur-Farakka section of NH 34 from km 193 to km 295.700 in the state of West Bengal on DBFOT basis under NHDP III,Ministry of Road Transport and Highways,West Bengal,Transport and Logistics,Roads,1007,27.07.2009,26th PPPAC,Final approval
284,Four laning of Rohtak to Panipat section of NH 71A from km 0 to km 80.858 in the state of Haryana on BOT basis under NHDP III,Ministry of Road Transport and Highways,Haryana,Transport and Logistics,Roads,1088,27.07.2009,26th PPPAC,Final approval
285,Four/Six laning of Moradabad-Bareilly section of NH 24 from km 1+C28348 to km 262 in the state of Uttar Pradesh on DBFOT basis under NHDP III,Ministry of Road Transport and Highways,Uttar Pradesh,Transport and Logistics,Roads,1485,27.07.2009,26th PPPAC,Final approval
286,Four laning of Muzaffarnagar-Haridwar section of NH 58 from km 131 to 211 of NH 58 in the state of UP and Uttarakhand,Ministry of Road Transport and Highways,Multi State,Transport and Logistics,Roads,804,27.07.2009,26th PPPAC,Final approval
287,Four laning of Farakka-Raiganj section of NH 34 from km 295 to km 398 in the State of West Bengal on DBFOT basis under NHDP III,Ministry of Road Transport and Highways,West Bengal,Transport and Logistics,Roads,1057,27.07.2009,26th PPPAC,Final approval
288,Four/Six laning of Maharashtra/Goa Border Km 475.040 to Panaji-Goa/Karnataka Border km 611 of section NH 17 in the state of Goa to be executed as BOT (Toll) on DBFO pattern under NHDP Phase III,Ministry of Road Transport and Highways,Goa,Transport and Logistics,Roads,2078,09.07.2009,25th PPPAC,Final approval
289,Six laning of Pune-Satara section of NH 4 from km 725 to km 865.35 in the State of Maharashtra under NHDP Phase V on BOT (Toll) basis on DBFO pattern,Ministry of Road Transport and Highways,Maharashtra,Transport and Logistics,Roads,1725,09.07.2009,25th PPPAC,Final approval
290,Six laning of Samakhiali-Gandhidham section of NH 8A from km 306 to km 362.16 in the State of Gujarat under NHDP Phase V on BOT (Toll) basis on DBFO pattern,Ministry of Road Transport and Highways,Gujarat,Transport and Logistics,Roads,805,09.07.2009,25th PPPAC,Final approval
291,Four/Six laning of Gandhidham-Mundra Port section of NH8A in the State of Gujarat under NHDP Phase III on DBFOT pattern,Ministry of Road Transport and Highways,Gujarat,Transport and Logistics,Roads,1031,09.07.2009,25th PPPAC,Final approval
292,Four laning of Ahmedabad to Godhra section of NH 59 in the State of Gujarat under NHDP Phase III on DBFOT pattern,Ministry of Road Transport and Highways,Gujarat,Transport and Logistics,Roads,1174,09.07.2009,25th PPPAC,Final approval
293,Four laning of Godhara to Gujarat/MP border section of NH 59 in the State of Gujarat under NHDP Phase III on DBFOT pattern,Ministry of Road Transport and Highways,Gujarat,Transport and Logistics,Roads,856,09.07.2009,25th PPPAC,Final approval
294,Four laning of Indore-Jhabua-Gujarat/MP border section of NH 59 in the state of Madhya Pradesh on BOT (Toll) basis under NHDP III,Ministry of Road Transport and Highways,Madhya Pradesh,Transport and Logistics,Roads,1297,09.07.2009,25th PPPAC,Final approval
295,Four laning of Rohtak to Bawal Section of NH 71 in the state of Haryana on DBFOT basis under NHDP III,Ministry of Road Transport and Highways,Haryana,Transport and Logistics,Roads,669,09.07.2009,25th PPPAC,Final approval
296,Four laning of Haridwar-Dehradun Section of NH 58 & 72 in the state of Uttarakhand-BOT(Annuity) basis,Ministry of Road Transport and Highways,Uttarakhand,Transport and Logistics,Roads,490,09.07.2009,25th PPPAC,Final approval
297,Four laning of Bareilly-Sitapur section of NH 24 in the State of Uttar Pradesh on BOT basis under NHDP III,Ministry of Road Transport and Highways,Uttar Pradesh,Transport and Logistics,Roads,1046,09.07.2009,25th PPPAC,Final approval
298,Four laning of Hyderabad-Yadgiri section of NH 202 in the State of Andhra Pradesh under NHDP Phase III on BOT basis,Ministry of Road Transport and Highways,Andhra Pradesh,Transport and Logistics,Roads,515,09.07.2009,25th PPPAC,Final approval
299,Four laning of Talegaon - Amravati section of NH 6 in Maharashtra on DBFOT basis,Ministry of Road Transport and Highways,Maharashtra,Transport and Logistics,Roads,611,20.02.2009,23th PPPAC,Final approval
300,Four laning of Pune -Sholapur section (km 144.00 to 249.00) of NH9 in the State of Maharashtra under NHDP III A on BOT (Toll) basis - Package II,Ministry of Road Transport and Highways,Maharashtra,Transport and Logistics,Roads,810,20.02.2009,23th PPPAC,Final approval
301,Development of Eighth Berth as Container Terminal on Build Operate & Transfer (BOT) basis at Tuticorin Port,Ministry of Shipping,Tamil Nadu,Transport and Logistics,Ports,312,13.01.2009,22th PPPAC,Final approval
302,Construction of Container Terminal at Ennore Port in Tamil Nadu on BOT basis,Ministry of Shipping,Tamil Nadu,Transport and Logistics,Ports,1407,13.01.2009,22th PPPAC,Final approval
303,"Development of a Coal Terminal at Port of Mormugao, Goa on Design, Build, Finance, Operate and Transfer (DBFOT) Basis",Ministry of Shipping,Goa,Transport and Logistics,Ports,334,13.01.2009,22th PPPAC,Final approval
304,"Four Laning of Trivandrum, Kerala/ Tamil Nadu border including Trivandrum by-pass (Package I)",Ministry of Road Transport and Highways,Kerala,Transport and Logistics,Roads,822,31.12.2008,20th PPPAC,Final approval
305,"Four Laning of Kerala/ Tamil Nadu border, Kanyakumari section of NH 47 (Package II)",Ministry of Road Transport and Highways,Tamil Nadu,Transport and Logistics,Roads,851,31.12.2008,20th PPPAC,Final approval
306,Four laning of Patna-Muzaffarpur stretch of NH 77from Km 0 to Km 46.30 and construction of Muzzafarpur bypass for connection to NH 28 in the Satae of Bihar. under NHDP Phase III on BOT(Annuity) Basis,Ministry of Road Transport and Highways,Bihar,Transport and Logistics,Roads,570,31.12.2008,20th PPPAC,Final approval
307,Four laning of Hazaribagh-Ranchi stretch of NH 33 from Km 40.500 to Km114.000 including Kujju bypass in the Satae of Jharkhand. under NHDP Phase IIIA on BOT(Annuity) Basis,Ministry of Road Transport and Highways,Jharkhand,Transport and Logistics,Roads,595,31.12.2008,20th PPPAC,Final approval
308,Four laning of Nagapatnam-Thanjavur section of NH 67 from km 1.600 to km 80.00 in the state of Tamil Nadu under NHDP Phase IIIA on BOT (Toll) basis,Ministry of Road Transport and Highways,Tamil Nadu,Transport and Logistics,Roads,619,21.12.2008,19th PPPAC,Final approval
309,Four/Six Laning of Gujarat/Maharashtra Border-Surat-Hazira Port Section of NH 6 in the State of Gujarat under NHDP Phase III on BOT (Toll) basis,Ministry of Road Transport and Highways,Gujarat,Transport and Logistics,Roads,1509,21.11.2008,19th PPPAC,Final approval
310,Four laning of Cherthalai-Ochira section of NH-47 (Package I) from Km 379.100(Thiruvoor Jn) to Km 465.00 (Ochira) in the State of Kerala under NHDP III on BOT basis.,Ministry of Road Transport and Highways,Kerala,Transport and Logistics,Roads,1287,21.11.2008,19th PPPAC,Final approval
311,Four laning of Ochira-Thiruvananthapuram section of NH-47 (Package II) from Km 465.000 (Ochira) to Km 551.900 (Kazakuttam jn) in the State of Kerala under NHDP III on BOT basis,Ministry of Road Transport and Highways,Kerala,Transport and Logistics,Roads,1241,21.11.2008,19th PPPAC,Final approval
312,Four laning of Vengalam-Kuttipuram section of NH-17 (Package II) from Km 230.00 to Km 318 in the State of Kerala under NHDP III on BOT basis,Ministry of Road Transport and Highways,Kerala,Transport and Logistics,Roads,1108,21.11.2008,19th PPPAC,Final approval
313,Four laning of Kannur-Vengalam section of NH-17 (Package I) from Km 148.00 to Km 230 in the State of Kerala under NHDP III on BOT basis,Ministry of Road Transport and Highways,Kerala,Transport and Logistics,Roads,1144,21.11.2008,19th PPPAC,Final approval
314,Development of Six laning of Chilkaluripet-Nellore section of NH 5 from km 1182.802 to km 1366.547 in the State of Andhra Pradesh under NHDP Phase V on BOT (Toll) project on DBFO pattern,Ministry of Road Transport and Highways,Andhra Pradesh,Transport and Logistics,Roads,2164,21.11.2008,19th PPPAC,Final approval
315,Four/Six Laning of Jaipur-Tonk-Deoli section of NH 12 from km 18.7 to km 165 (length 148.77 kms) in the State of Rajasthan under NHDP Phase III on BOT (Toll) basis,Ministry of Road Transport and Highways,Rajasthan,Transport and Logistics,Roads,1184,21.11.2008,19th PPPAC,Final approval
316,Six laning of Delhi-Agra section of NH 2 from Km 20.500 to Km 199.600 in the States of Haryana/UP under NHDP V on BOT basis,Ministry of Road Transport and Highways,Multi State,Transport and Logistics,Roads,1918,21.11.2008,19th PPPAC,Final approval
317,Six laning of Belgaum-Dharwad section of NH 4 from Km 515 to km 433 and Km 0 to Km62 in the State of Karnatakaunder NHDP V on BOT basis,Ministry of Road Transport and Highways,Karnataka,Transport and Logistics,Roads,638,21.11.2008,19th PPPAC,Final approval
318,Six laning of Chandikol-Jagatpur-Bhubhaneshwar section of NH 5 from Km 413 to 418 and Km 0 to Km 62 in the State of Orissa under NHDP V on BOT basis,Ministry of Road Transport and Highways,Odisha,Transport and Logistics,Roads,951,21.11.2008,19th PPPAC,Final approval
319,Six laning of Krishnagiri-Walahjpet section of NH 46 from Km 0 to km 148.30 in the State of Tamil Nadu under NHDP V on BOT basis,Ministry of Road Transport and Highways,Tamil Nadu,Transport and Logistics,Roads,1490,21.11.2008,19th PPPAC,Final approval
320,Six laning of Varanasi-Aurangabad section of NH 2from Km 786.00 to km 978.40 in the State of UP/Bihar under NHDP V on BOT basis,Ministry of Road Transport and Highways,Multi State,Transport and Logistics,Roads,2588,21.11.2008,19th PPPAC,Final approval
321,Six laning of Indore-Dewas section of NH 3 from Km 577.55 to km 610.00 and Km 0.00 to Km 12.60 in the State of MP under NHDP V on BOT basis,Ministry of Road Transport and Highways,Madhya Pradesh,Transport and Logistics,Roads,410,21.11.2008,19th PPPAC,Final approval
322,Construction of Deep draught iron ore berth on BOT basis by Paradip Port Trust,Ministry of Shipping,Odisha,Transport and Logistics,Ports,591,23.10.2008,18th PPPAC,In-principle approval
323,Construction of Deep draught coal berth on BOT basis by Paradip Port Trust,Ministry of Shipping,Odisha,Transport and Logistics,Ports,479,23.10.2008,18th PPPAC,In-principle approval
324,Redevelopment of New delhi Railway station,Ministry of Railways,Delhi,Transport and Logistics,"Railway track including electrical & signalling system, tunnels, viaducts, bridges",8500,06.10.2008,17th PPPAC,In-principle approval
325,Four laning of Khagaria-Bhaktiarpur section of NH31 in the state of Bihar,Ministry of Road Transport and Highways,Bihar,Transport and Logistics,Roads,1704,04.08.2008,16th PPPAC,Final approval
326,Four laning of Kuttipuram-Edapally section of NH17 in the state of Kerala,Ministry of Road Transport and Highways,Kerala,Transport and Logistics,Roads,1158,04.08.2008,16th PPPAC,Final approval
327,Four laning of Patna-Buxar section of NH 30 in the state of Bihar,Ministry of Road Transport and Highways,Bihar,Transport and Logistics,Roads,1620,04.08.2008,16th PPPAC,Final approval
328,"Four laning of Goa/Karnataka border-Panaji, Goa stretch of NH 4A of Goa",Ministry of Road Transport and Highways,Goa,Transport and Logistics,Roads,382,04.08.2008,16th PPPAC,Final approval
329,Four laning of MP/Maharashtra border-Nagpur section of NH7 including Kamptee-Kahnan and Nagpur bypass in the State of Maharashtra,Ministry of Road Transport and Highways,Maharashtra,Transport and Logistics,Roads,1134,04.08.2008,16th PPPAC,Final approval
330,Four laning elevated road from Chennai Port gate No. 10 to Maduravoyal (NH 4) in the state of Tamil nadu,Ministry of Road Transport and Highways,Tamil Nadu,Transport and Logistics,Roads,1345,04.08.2008,16th PPPAC,Final approval
331,Four laning of Armur-Adloor Yellareddy section of NH7 in the State of Andhra Pradesh,Ministry of Road Transport and Highways,Andhra Pradesh,Transport and Logistics,Roads,491,04.08.2008,16th PPPAC,Final approval
332,Four laning of Muzzafarnagar-Nepali farm section of NH 58 in the State of Uttar Pradesh and Uttrakhand from Nepali to ISBT Dehradun,Ministry of Road Transport and Highways,Uttar Pradesh,Transport and Logistics,Roads,1251,04.08.2008,16th PPPAC,Final approval
333,"Four laning of Pune-Sholapur section of NH 9 under NHDP Phase III, length 110.05 km  Package II",Ministry of Road Transport and Highways,Maharashtra,Transport and Logistics,Roads,1110,04.08.2008,16th PPPAC,Final approval
334,Four laning of Cuddapah-Kurnool section (Km 167.750 to km 356.030) of NH 18 Under NHDP Phase III on BOT Basis,Ministry of Road Transport and Highways,Andhra Pradesh,Transport and Logistics,Roads,1567,17.06.2008,15th PPPAC,Final approval
335,Four laning of Jorhat-Demow section from Km 453 to 534.8 (part of Nagaon-Dirbugah section) of NH 37 in the State of Assam under SARDP-NE Phase A on BOT (Annuity) basis,Ministry of Road Transport and Highways,Assam,Transport and Logistics,Roads,562,30.04.2008,14th PPPAC,Final approval
336,Four/Six laning of Ghaziabad-Aligarh section of NH 91under NHDP Phase III on BOT Basis.,Ministry of Road Transport and Highways,Uttar Pradesh,Transport and Logistics,Roads,1325,30.04.2008,14th PPPAC,Final approval
337,Four/Six laning of Amritsar-Pathankot Section from KM 6.082 to KM 108.502 of NH 15 Under NHDP Phase III on BOT Basis,Ministry of Road Transport and Highways,Punjab,Transport and Logistics,Roads,704,30.04.2008,14th PPPAC,Final approval
338,Six Laning of Kishangarh-Ajmer-Beawar Section from KM 364.125 to KM 58.245 of NH 8 on BOT Basis,Ministry of Road Transport and Highways,Rajasthan,Transport and Logistics,Roads,722,30.04.2008,14th PPPAC,Final approval
339,Four laning of Trichy Karaikkudi section of NH-210 (km 10.000 to km 94.000) and Trichy Bypass (ch 109.558 to ch 135.390) in the State of Tamil Nadu under NHDP Phase III on BOT basis.,Ministry of Road Transport and Highways,Tamil Nadu,Transport and Logistics,Roads,804,30.04.2008,14th PPPAC,Final approval
340,Four laning of Karaikkudi-Ramanathapuram section of NH-210 (101 kms)in the State of Tamil Nadu under NHDP Phase III on BOT basis.,Ministry of Road Transport and Highways,Tamil Nadu,Transport and Logistics,Roads,599,30.04.2008,14th PPPAC,Final approval
